Loan_ID,Loan_Amount,Loan_Term,Interest_Rate,Age,Income,Credit_Score,Loan_Status
L495,17735.580202336834,48,6.57,43,5498,638,1
L496,36503.42407596283,12,9.32,40,11316,393,0
L497,21667.85962515397,36,4.18,26,6717,715,1
L498,22109.79750942464,60,9.63,32,6854,362,0
L499,12445.228886979903,12,3.0,32,3858,819,0
L500,40267.96065219548,12,6.39,23,12483,508,0
L501,24106.582548574603,12,7.95,62,7473,508,0
L502,14558.143589149899,36,5.32,59,4513,675,1
L503,22451.734850539175,12,8.57,55,6960,384,0
L504,17790.41920987407,48,7.78,39,5515,506,0
L505,39329.2458761169,12,4.78,24,12192,646,0
L506,38674.40360964284,60,7.45,51,11989,460,0
L507,13922.656266512511,24,4.72,62,4316,749,1
L508,41200.223780328495,60,7.85,58,12772,415,0
L509,12948.457426733368,36,5.56,53,4014,661,1
L510,13442.008494568496,12,6.65,26,4167,550,1
L511,16219.442935130886,12,7.0,28,5028,482,0
L512,39158.27720555963,48,6.56,48,12139,627,1
L513,36564.71473144562,12,9.67,35,11335,306,0
L514,48377.68211976092,60,3.59,51,14997,819,1
L515,20100.10917438356,36,4.56,28,6231,686,1
L516,16606.54181186432,24,4.96,26,5148,669,0
L517,30713.07004482521,12,3.0,49,9521,847,1
L518,35893.74334510767,24,8.87,54,11127,378,0
L519,43061.524212621756,12,6.81,27,13349,520,0
L520,6451.6479455572335,36,4.4,60,2000,711,0
L521,33122.760552490836,60,4.68,30,10268,778,1
L522,31003.394202375286,36,9.08,33,9611,396,0
L523,14929.11334601944,24,4.89,42,4628,692,0
L524,26238.852194581268,12,3.43,41,8134,767,1
L525,39958.28155080873,24,6.2,21,12387,670,1
L526,8300.04508195938,60,4.12,61,2573,692,0
L527,11445.223455418532,36,8.93,62,3548,317,0
L528,33474.37536552371,24,7.13,22,10377,483,0
L529,47771.22721287854,24,9.01,49,14809,442,0
L530,45271.21363397511,60,3.66,31,14034,762,1
L531,25951.753861003974,12,3.53,57,8045,806,1
L532,17716.225258500162,24,6.23,27,5492,633,1
L533,40113.1211015021,60,9.97,55,12435,361,0
L534,32984.050121661356,12,8.06,50,10225,462,0
